,SandyLoam_D85_REFERENCE,SandyLoam_D85_20150126,SandyLoam_D85_20150307,SandyLoam_D85_20150401,SandyLoam_D85_20150526,SandyLoam_D85_20150923,SandyLoam_D85_20151102
2000-10-27,8.556943893432617,8.556943893432617,8.556943893432617,8.556943893432617,8.556943893432617,8.556943893432617,8.556943893432617
2000-10-28,8.563005447387695,8.563005447387695,8.563005447387695,8.563005447387695,8.563005447387695,8.563005447387695,8.563005447387695
2000-10-29,8.569619178771973,8.569619178771973,8.569619178771973,8.569619178771973,8.569619178771973,8.569619178771973,8.569619178771973
2000-10-30,8.576367378234863,8.576367378234863,8.576367378234863,8.576367378234863,8.576367378234863,8.576367378234863,8.576367378234863
2000-10-31,8.58359146118164,8.58359146118164,8.58359146118164,8.58359146118164,8.58359146118164,8.58359146118164,8.58359146118164
2000-11-01,8.591782569885254,8.591782569885254,8.591782569885254,8.591782569885254,8.591782569885254,8.591782569885254,8.591782569885254
2000-11-02,8.602649688720703,8.602649688720703,8.602649688720703,8.602649688720703,8.602649688720703,8.602649688720703,8.602649688720703
2000-11-03,8.617409706115723,8.617409706115723,8.617409706115723,8.617409706115723,8.617409706115723,8.617409706115723,8.617409706115723
2000-11-04,8.635340690612793,8.635340690612793,8.635340690612793,8.635340690612793,8.635340690612793,8.635340690612793,8.635340690612793
2000-11-05,8.654627799987793,8.654627799987793,8.654627799987793,8.654627799987793,8.654627799987793,8.654627799987793,8.654627799987793
2000-11-06,8.671311378479004,8.671311378479004,8.671311378479004,8.671311378479004,8.671311378479004,8.671311378479004,8.671311378479004
2000-11-07,8.683552742004395,8.683552742004395,8.683552742004395,8.683552742004395,8.683552742004395,8.683552742004395,8.683552742004395
2000-11-08,8.69192123413086,8.69192123413086,8.69192123413086,8.69192123413086,8.69192123413086,8.69192123413086,8.69192123413086
2000-11-09,8.69780158996582,8.69780158996582,8.69780158996582,8.69780158996582,8.69780158996582,8.69780158996582,8.69780158996582
2000-11-10,8.702380180358887,8.702380180358887,8.702380180358887,8.702380180358887,8.702380180358887,8.702380180358887,8.702380180358887
2000-11-11,8.707151412963867,8.707151412963867,8.707151412963867,8.707151412963867,8.707151412963867,8.707151412963867,8.707151412963867
2000-11-12,8.718366622924805,8.718366622924805,8.718366622924805,8.718366622924805,8.718366622924805,8.718366622924805,8.718366622924805
2000-11-13,8.734021186828613,8.734021186828613,8.734021186828613,8.734021186828613,8.734021186828613,8.734021186828613,8.734021186828613
2000-11-14,8.747039794921875,8.747039794921875,8.747039794921875,8.747039794921875,8.747039794921875,8.747039794921875,8.747039794921875
2000-11-15,8.758382797241211,8.758382797241211,8.758382797241211,8.758382797241211,8.758382797241211,8.758382797241211,8.758382797241211
2000-11-16,8.76763916015625,8.76763916015625,8.76763916015625,8.76763916015625,8.76763916015625,8.76763916015625,8.76763916015625
2000-11-17,8.773659706115723,8.773659706115723,8.773659706115723,8.773659706115723,8.773659706115723,8.773659706115723,8.773659706115723
2000-11-18,8.776823043823242,8.776823043823242,8.776823043823242,8.776823043823242,8.776823043823242,8.776823043823242,8.776823043823242
2000-11-19,8.778251647949219,8.778251647949219,8.778251647949219,8.778251647949219,8.778251647949219,8.778251647949219,8.778251647949219
2000-11-20,8.779010772705078,8.779010772705078,8.779010772705078,8.779010772705078,8.779010772705078,8.779010772705078,8.779010772705078
2000-11-21,8.779927253723145,8.779927253723145,8.779927253723145,8.779927253723145,8.779927253723145,8.779927253723145,8.779927253723145
2000-11-22,8.782312393188477,8.782312393188477,8.782312393188477,8.782312393188477,8.782312393188477,8.782312393188477,8.782312393188477
2000-11-23,8.786556243896484,8.786556243896484,8.786556243896484,8.786556243896484,8.786556243896484,8.786556243896484,8.786556243896484
2000-11-24,8.79119873046875,8.79119873046875,8.79119873046875,8.79119873046875,8.79119873046875,8.79119873046875,8.79119873046875
